"","text"," ellekingmusic"," taylorswift"," torikelly"," kaceymusgraves"," carrieunderwood"," samhuntmusic"," kanyewest"," sofiavergara"," ladygaga"," meghan_trainor"," adele"," justinbieber"," thegrammys"," kendricklamar"," littlebigtown"," rihanna"," ddlovato"," jkcorden"," andradaymusic"," selenagomez"," brunomars"," beyonce"," mileycyrus"," harry_styles"," samhunt"," theweeknd"," djkhaled"," realalicecooper"," alabama_shakes"," wizkhalifa"," gwenstefani"," muse"," miguel"," angelalessandra"," chrissyteigen"," kaleycuoco"," elliegoulding"," rwitherspoon"," mslaurynhill"," chrisstapleton"," itzsteviewonder"," michaeljackson"," serayahlove"," zendaya"," hamilton"," johnlegend"," pharrel"," samsmith"," arianagrande"," johnnydepp"," llcoolj"," theeagles"," davegrohl"," mattbellamy"," nicklachey"," pharrell"," faithevans"," annakendrick"," janellemonae"," kimkardashian"," ciara"," annawintour"
"51","Meanwhile @MileyCyrus is watching the #Grammys from home and smoking weed! Typical Monday! https://t.co/07Wxr9hP7d https://t.co/7Kr2iTZiqj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","There's @Harry_Styles. Not at the #Grammys! https://t.co/jPJeUagzRM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","I'm ready for @taylorswift13 to open this show and slay my life!! #Grammys https://t.co/iX4hngL48H",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",".@SamHunt can do whatever he wants to my body and then marry me!!!!!! #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",".@theweeknd can do whatever he wants to my body!!! #Grammys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56"," We caught up with @djkhaled and MORE artists at the #Grammys! Watch the EXCLUSIVE clip here: https://t.co/YtjwngMq4K https…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57"," .@RWitherspoon, @Andy &amp; others send love @taylorswift13's way after her big #Grammys win! https://t.co/bF2X108pqj https://…",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58"," .@MsLaurynHill was supposed to perform at the #Grammys with @theweeknd but didn't! Find out why HERE: https://t.co/K6xIYdr…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59"," .@taylorswift13's #Grammys acceptance speech for album of the year was a big FUCK YOU to @KanyeWest! Watch HERE: https://t…",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60"," .@SofiaVergara had one of the most talked about moments of the #Grammys! Watch HERE: https://t.co/63fOmv9RSh",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61"," .@Beyonce!!!!!! #Grammys https://t.co/dBOOTW2ZKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62"," Watch @RealAliceCooper and #JohnnyDepp bring heavy metal to the #Grammys HERE: https://t.co/1SqNt6IcdZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"63"," .@Alabama_Shakes is the real deal!! Watch their raw and raucous #Grammys performance HERE: https://t.co/F7LG0BjWqe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64"," Watch @LadyGaGa's flaw free #Grammys performance HERE: https://t.co/tTLxnueofr",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65"," .@ChrisStapleton, @TheBonnieRaitt and @GaryClarkJr rock the #Grammys stage! Watch HERE: https://t.co/7DDof7x6I9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66"," Who would have thought? @wizkhalifa was one of the best dressed at the #Grammys! https://t.co/zw4p2PWzO5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67"," #LLCoolJ is like vanilla frozen yogurt on the red carpet and as #Grammys host. https://t.co/nJCAUTRGzI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
